G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
1	2.0	0.75	2	2.0	0.375	3	2.0	0.375	3
1	2.0	0.75	2	2.0	0.375	3	2.0	0.75	2
1	2.0	0.375	3	2.0	0.375	4	2.0	0.375	4
1	2.0	0.375	3	2.0	0.375	4	2.0	0.75	2
1	3.0	0.5	4	1.0	0.5	1	1.0	0.5	1
1	3.0	0.5	4	1.0	0.5	1	1.0	0.5	1
1	1.0	0.5	1	3.0	0.5	4	4.0	0.46875	5
1	1.0	0.5	1	3.0	0.5	4	3.0	0.5	4
1	4.0	0.5	6	3.0	0.625	4	6.0	0.46875	8
1	4.0	0.5	6	3.0	0.625	4	1.0	0.5	1
1	1.0	0.5	1	3.0	0.625	4	4.0	0.5625	5
1	1.0	0.5	1	3.0	0.625	4	3.0	0.625	4
1	1.0	0.5	1	2.0	0.375	3	2.0	0.375	3
1	1.0	0.5	1	2.0	0.375	3	1.0	0.5	1
1	3.0	0.5	4	2.0	0.75	2	1.0	0.5	1
1	3.0	0.5	4	2.0	0.75	2	3.0	0.875	3
1	3.0	0.625	3	1.0	0.25	2	3.0	0.625	4
1	3.0	0.625	3	1.0	0.25	2	1.0	0.25	2
2	5.0	0.40625	9	2.0	0.375	3	3.0	0.4375	5
2	5.0	0.40625	9	2.0	0.375	3	1.0	0.125	3
2	2.0	0.375	3	2.0	0.375	4	3.0	0.5	4
2	2.0	0.375	3	2.0	0.375	4	2.0	0.375	3
2	3.0	0.4375	5	2.0	0.375	3	2.0	0.375	4
2	3.0	0.4375	5	2.0	0.375	3	1.0	0.5	1
2	4.0	0.4375	6	2.0	0.375	4	9.0	0.59375	9
2	4.0	0.4375	6	2.0	0.375	4	3.0	0.875	3
2	2.0	0.625	3	10.0	0.5625	9	3.0	0.59375	7
2	2.0	0.625	3	10.0	0.5625	9	7.0	0.71875	6
